HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0,4,1,5,2,1,3,0,4
6,5,1,5,0,1,3,0,4
6,0,8,2,0,1,3,0,4
6,2,1,3,1,1,3,0,4
1,17,3,2,1,1,3,0,4
0,5,4,4,3,1,3,0,4
1,10,0,7,0,4,0,2,46
2,6,10,2,3,4,0,2,46
50,1,2,12,36,4,0,2,46
0,2,1,10,23,4,0,2,46
2,8,0,43,6,4,0,2,46
2,4,0,7,1,4,0,2,46
1,5,4,21,0,4,0,2,46
1,18,2,3,13,4,0,2,46
1,10,11,9,9,4,0,2,46
5,4,3,0,1,4,0,2,46
9,2,19,2,0,4,0,2,46
0,4,2,1,7,4,0,2,46
2,24,6,47,1,4,0,2,46
0,24,4,28,35,4,0,2,46
0,0,1,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
1,20,5,23,30,5,23,0,9
0,5,9,5,9,5,23,0,9
0,20,13,8,0,5,23,0,9
1,41,2,19,1,5,23,0,9
1,7,51,7,44,5,23,0,9
0,20,4,5,34,5,23,0,9
1,24,2,23,1,5,23,0,9
1,11,0,19,16,5,23,0,9
1,30,41,41,18,5,23,0,9
2,2,6,2,45,5,23,0,9
0,4,10,1,36,5,23,0,9
0,13,0,9,0,5,23,0,9
0,0,0,1,25,5,23,0,9
1,26,1,39,35,5,23,0,9
1,5,1,5,0,5,23,0,9
1,29,3,27,0,5,23,0,9
4,1,2,5,1,5,23,0,9
2,2,2,4,1,5,23,0,9
0,0,0,0,1,5,23,0,9
0,3,22,5,36,5,23,0,9
8,25,4,20,9,5,23,0,9
0,1,20,6,44,5,23,0,9
2,9,9,2,53,5,23,0,9
3,5,1,4,23,5,23,0,9
0,22,6,39,3,5,23,0,9
0,339,718,398,125,36,0,17,4700
0,0,58,398,2,36,0,17,4700
168,0,876,0,0,36,0,17,4700
2,339,718,175,204,36,0,17,4700
8,0,206,0,0,36,0,17,4700
127,175,596,0,0,36,0,17,4700
14,0,581,0,0,36,0,17,4700
8,0,169,0,159,36,0,17,4700
8,0,101,0,0,36,0,17,4700
2,407,779,411,74,36,0,17,4700
2,420,244,474,5,36,0,17,4700
72,257,74,1171,162,36,0,17,4700
2,0,0,0,35,36,0,17,4700
2,0,0,1,0,0,0,0,3
0,2,7,0,1,0,0,0,3
12,8,0,2,14,0,0,0,3
0,4,2,5,2,0,0,0,3
0,1,3,0,0,0,0,0,3
0,6,3,6,5,0,0,0,3
0,0,0,3,2,0,0,0,3
0,4,0,1,0,0,0,0,3
0,0,2,0,4,0,0,0,3
0,0,3,0,5,0,0,0,3
0,0,4,0,2,0,0,0,3
0,0,0,0,12,0,0,0,3
0,0,1,2,0,0,0,0,3
0,0,2,0,5,0,0,0,3
1,0,2,0,2,0,0,0,3
0,2,0,0,3,0,0,0,3
3,4,1,0,5,0,0,0,3
0,0,2,2,0,0,0,0,3
0,8,3,0,0,0,0,0,3
0,5,2,1,3,0,0,0,3
0,10,0,9,15,0,0,0,3
0,2,5,2,4,0,0,0,3
0,8,2,10,15,0,0,0,3
0,4,6,1,2,0,0,0,3
3,1,8,5,2,0,0,0,3
0,0,1,0,1,0,0,0,3
0,0,0,1,0,0,0,0,3
0,0,3,0,1,0,0,0,3
1,5,0,3,1,1,3,0,22
1,5,11,4,1,1,3,0,22
2,10,16,3,52,1,3,0,22
1,7,13,0,34,1,3,0,22
2,2,17,7,41,1,3,0,22
4,5,10,5,8,1,3,0,22
3,3,2,3,6,1,3,0,22
5,19,9,16,9,1,3,0,22
2,16,1,5,9,1,3,0,22
19,11,1,9,5,1,3,0,22
7,6,9,10,1,1,3,0,22
1,3,11,4,20,1,3,0,22
11,15,1,13,6,1,3,0,22
10,11,10,13,1,1,3,0,22
18,14,0,10,5,1,3,0,22
4,3,13,6,52,1,3,0,22
11,1,0,6,1,1,3,0,22
0,0,1,1,1,4,1,2,223
0,1,1,0,0,4,1,2,223
3,3,2,20,107,4,1,2,223
0,1,1,4,0,4,1,2,223
0,1,1,0,2,4,1,2,223
0,11,1,15,3,4,1,2,223
0,1,6,2,1,4,1,2,223
2,4,0,4,3,4,1,2,223
2,4,2,1,1,4,1,2,223
0,0,3,0,1,4,1,2,223
0,0,8,0,0,4,1,2,223
0,0,24,0,2,4,1,2,223
0,9,8,117,105,4,1,2,223
0,0,1,0,12,4,1,2,223
3,21,3,12,5,4,1,2,223
5,585,575,36,177,37,382,4,576
1,190,565,74,295,37,382,4,576
10,64,1048,23,508,37,382,4,576
4,51,588,26,274,37,382,4,576
1,72,589,33,43,37,382,4,576
143,76,662,56,991,37,382,4,576
4,74,593,94,89,37,382,4,576
7,156,563,56,33,37,382,4,576
3,338,560,65,561,37,382,4,576
16,7,376,17,557,37,382,4,576
2,5,1047,58,1322,37,382,4,576
499,181,659,302,56,37,382,4,576
143,51,648,304,4,37,382,4,576
6,10,2,5,8,1,5,3,6
7,4,4,8,3,1,5,3,6
0,6,9,3,130,1,5,3,6
7,6,4,8,43,1,5,3,6
8,3,10,20,3,1,5,3,6
4,9,4,4,3,1,5,3,6
14,10,2,6,11,1,5,3,6
5,0,0,5,2,1,5,3,6
3,3,2,2,16,1,5,3,6
11,5,2,9,3,1,5,3,6
13,2,9,2,3,1,5,3,6
0,16,5,7,131,1,5,3,6
4,10,2,7,3,1,5,3,6
3,0,4,4,134,1,5,3,6
2,0,5,0,0,3,0,0,61
0,0,4,0,1,3,0,0,61
3,4,0,0,11,3,0,0,61
26,0,0,0,129,3,0,0,61
0,0,0,0,1,3,0,0,61
0,0,0,0,0,3,0,0,61
1,0,1,0,0,3,0,0,61
0,0,0,0,1,3,0,0,61
1,0,0,0,0,3,0,0,61
0,1,2,0,1,3,0,0,61
0,0,1,0,53,3,0,0,61
0,6,2,0,0,3,0,0,61
0,0,0,0,3,3,0,0,61
0,0,1,0,0,3,0,0,61
0,4935,899,6349,22,8,68,1,2703
8,1637,6175,2631,78,8,68,1,2703
0,39,1075,5783,32,8,68,1,2703
210,973,149,986,68,8,68,1,2703
0,1997,1089,5786,3,8,68,1,2703
1,96,186,944,43,8,68,1,2703
11,989,128,956,16,8,68,1,2703
18,87,145,943,47,8,68,1,2703
4,2873,5922,2620,0,8,68,1,2703
4971,2080,852,7230,5,8,68,1,2703
0,1036,1924,5850,0,8,68,1,2703
