HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0,0,2,0,0,1,2,0
2,4,1,0,0,1,2,0
2,0,2,0,0,1,2,0
1,0,1,0,0,1,2,0
1,0,0,0,0,1,2,0
4,0,1,0,0,1,2,0
0,1,0,3,0,1,2,0
8,30,0,0,1,1,0,29
0,7,2,3,1,1,0,29
10,2,2,1,1,1,0,29
0,12,0,2,1,1,0,29
1,16,0,1,1,1,0,29
1,2,0,3,1,1,0,29
1,9,1,0,1,1,0,29
0,15,0,2,1,1,0,29
2,5,2,0,1,1,0,29
4,3,2,0,1,1,0,29
0,6,0,0,1,1,0,29
1,2,1,0,1,1,0,29
1,3,1,0,1,1,0,29
1,5,2,10,1,1,0,29
0,2,0,0,1,1,0,29
3,6,2,0,1,1,0,29
4,5,3,0,1,1,0,29
4,11,0,1,1,1,0,29
0,13,0,22,1,1,0,29
7,9,4,10,1,1,0,29
0,16,1,9,1,1,0,29
2,17,2,21,1,1,0,29
1,13,1,3,1,1,0,29
2,19,0,0,1,1,0,29
1,6,3,1,1,3,0,4
5,4,4,3,1,3,0,4
17,3,2,1,1,3,0,4
5,1,6,1,1,3,0,4
2,1,4,1,1,3,0,4
1,0,1,1,1,3,0,4
5,1,5,0,1,3,0,4
2,1,3,1,1,3,0,4
2,4,3,1,1,3,0,4
3,2,2,0,1,3,0,4
4,12,2,1,1,3,0,4
4,2,5,0,1,3,0,4
4,16,3,3,1,3,0,4
2,10,5,0,1,3,0,4
4,0,5,0,1,3,0,4
6,10,3,1,1,3,0,4
4,1,5,2,1,3,0,4
3,12,3,1,1,3,0,4
3,12,4,0,1,3,0,4
3,7,5,0,1,3,0,4
5,15,2,0,1,3,0,4
1,1,3,0,1,3,0,4
4,1,0,5,1,3,0,4
0,8,2,0,1,3,0,4
6,10,2,3,4,0,2,46
3,0,2,2,4,0,2,46
24,6,47,1,4,0,2,46
4,3,0,1,4,0,2,46
3,16,0,0,4,0,2,46
1,1,2,0,4,0,2,46
1,16,3,16,4,0,2,46
6,22,1,1,4,0,2,46
1,2,12,36,4,0,2,46
2,1,10,23,4,0,2,46
8,0,43,6,4,0,2,46
4,0,7,1,4,0,2,46
5,4,21,0,4,0,2,46
10,0,7,0,4,0,2,46
18,2,3,13,4,0,2,46
10,11,9,9,4,0,2,46
1,2,2,2,4,0,2,46
6,4,4,37,4,0,2,46
24,4,28,35,4,0,2,46
3,7,3,2,4,0,2,46
10,1,10,36,4,0,2,46
3,2,3,28,4,0,2,46
1,8,2,2,4,0,2,46
3,3,7,14,4,0,2,46
5,0,0,30,4,0,2,46
1,16,2,2,4,0,2,46
1,2,2,2,4,0,2,46
4,2,1,7,4,0,2,46
2,19,2,0,4,0,2,46
0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,40,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
11,13,13,0,5,23,0,9
9,29,22,0,5,23,0,9
1,20,6,44,5,23,0,9
2,6,2,45,5,23,0,9
1,7,0,26,5,23,0,9
